"#","Incident Type","Title","Urgency","Priority","Service","Created At (IST)","Resolved By","Auto Resolved","Responders","TTA (in seconds)","TTR (in seconds)","Response Effort (in seconds)","Escalations"
"74766","Base Incident","[FIRING:47] testing purpose {{$value}} CRM (RDS aws_eks aws ap-south-1-prod-eks prod notification-service notification notification-service notification-service v_49da219__2025_05_06_09_09 go opentelemetry 1.32.0)","high","","CRM-events-team","2025-05-14 10:06:05","","true","1","41","351997","351956","0"
"75198","Base Incident","[FIRING:1] [prod][notice-board][bff]: noticeBoardDS Failure CRM (SendNoticeDS notice-board-service 500)","high","","CRM-events-team","2025-05-16 13:00:20","","true","1","50","102601","102551","0"
"74510","Base Incident","[FIRING:1] [prod][notification] Resource notification.v1.notification.createnotification errors/sec has breached threshold CRM ","high","","CRM-events-team","2025-05-12 20:39:50","","true","1","121","84431","84310","0"
"74726","Base Incident","[FIRING:1] [sales-orchestrator] Region resolution from IP address failures CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-13 23:35:09","","true","1","32","44100","44068","0"
"74840","Base Incident","[FIRING:2] [PROD][Notice-board-service] Service API Error Rate CRM (500 notice-board-service)","high","","CRM-events-team","2025-05-14 16:22:02","","true","1","30","31501","31471","0"
"74832","Base Incident","[FIRING:1] [sales-orchestrator] Region resolution from IP address failures CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-14 15:59:07","","true","1","24","30002","29978","0"
"75209","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-16 13:43:07","","true","1","18","26701","26683","0"
"75342","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-17 14:46:04","","true","1","18","23101","23083","0"
"74954","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-15 11:27:45","","true","1","19","20101","20082","0"
"75663","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/filter 500 notice-board-service)","high","","CRM-events-team","2025-05-19 16:36:23","","true","1","1821","19802","17981","1"
"74597","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-13 11:43:40","","true","1","25","18606","18581","0"
"74392","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-12 11:46:07","","true","1","200","16200","16000","0"
"74833","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-14 16:01:15","","true","1","23","15604","15581","0"
"74453","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-12 16:49:20","","true","1","23","15003","14980","0"
"74777","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-14 11:41:07","","true","1","235","15001","14766","0"
"75318","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-17 10:43:16","","true","1","20","14403","14383","0"
"74785","Base Incident","[FIRING:1] [sales-orchestrator] Region resolution from IP address failures CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-14 12:07:28","","true","1","28","13805","13777","0"
"75001","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-15 15:20:31","","true","1","21","13200","13179","0"
"74660","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-13 17:02:07","","true","1","196","12901","12705","0"
"75669","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-19 17:22:09","","true","1","205","12604","12399","0"
"75575","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-19 09:11:04","","true","1","21","12600","12579","0"
"75133","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-16 05:25:25","","true","1","9030","10807","1777","5"
"75611","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-19 12:17:05","","true","1","324","10800","10476","0"
"75366","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-17 18:01:05","","true","1","91","9902","9811","0"
"74722","Base Incident","[FIRING:1] [sales-orchestrator offline] Salesforce api failure percentage breached threshold CRM (sales-orchestrator)","high","","CRM-events-team","2025-05-13 22:30:09","","true","1","39","9901","9862","0"
"75085","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-15 19:07:06","","true","1","26","7505","7479","0"
"75179","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-16 11:49:37","","true","1","18","6000","5982","0"
"74409","Base Incident","[FIRING:1] [PROD][Notice-board-service]API wise Error Rate by status code CRM (10 notification-centre)","high","","CRM-events-team","2025-05-12 13:00:25","","true","1","2010","5701","3691","1"
"75160","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-16 09:53:09","","true","1","20","5103","5083","0"
"75462","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-18 11:56:05","","true","1","19","4506","4487","0"
"75344","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-17 14:51:19","","true","1","17","4206","4189","0"
"74806","Base Incident","[FIRING:1] [Prod][notice-board] SQS - ApproximateAgeOfOldestMessage CRM (ap-south-1-prod-notice-board-queue ap-south-1-prod-notice-board-queue  notice-board-service)","high","","CRM-events-team","2025-05-14 13:28:01","","true","1","24","4205","4181","0"
"75497","Base Incident","[FIRING:2] [PROD][Notice-board-service] Service API Error Rate CRM (500 notice-board-service)","high","","CRM-events-team","2025-05-18 19:01:39","","true","1","21","3905","3884","0"
"74755","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/filter 500 notice-board-service)","high","","CRM-events-team","2025-05-14 07:36:02","","true","1","219","3905","3686","0"
"74714","Base Incident","[FIRING:2] [PROD][Notice-board-service] Service API Error Rate CRM (500 notice-board-service)","high","","CRM-events-team","2025-05-13 21:31:02","","true","1","21","3904","3883","0"
"75331","Base Incident","[FIRING:2] [PROD][Notice-board-service] Service API Error Rate CRM (500 notice-board-service)","high","","CRM-events-team","2025-05-17 13:16:03","","true","1","23","3903","3880","0"
"74971","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-15 13:06:04","","true","1","515","3902","3387","0"
"75448","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-18 10:11:02","","true","1","53","3604","3551","0"
"75353","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-17 16:11:02","","true","1","30","3604","3574","0"
"74796","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-14 12:41:02","","true","1","21","3604","3583","0"
"75622","Base Incident","[FIRING:3] [PROD][Notice-board-service] Service API Error Rate CRM (500 notice-board-service)","high","","CRM-events-team","2025-05-19 12:51:35","","true","1","119","3602","3483","0"
"74959","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-15 11:46:25","","true","1","2862","3601","739","1"
"74761","Base Incident","[FIRING:2] [PROD][Notice-board-service] Service API Error Rate CRM (500 notice-board-service)","high","","CRM-events-team","2025-05-14 08:51:02","","true","1","442","3601","3159","0"
"74579","Base Incident","[FIRING:1] [sales-orchestrator offline] Salesforce api failure percentage breached threshold CRM (sales-orchestrator)","high","","CRM-events-team","2025-05-13 10:40:36","","true","1","24","3601","3577","0"
"75514","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-18 21:31:26","","true","1","202","3600","3398","0"
"74990","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-15 14:16:16","","true","1","75","3600","3525","0"
"74654","Base Incident","[FIRING:1] [PROD][Notice-board-service] Service API Error Rate CRM (/v1/notification-center/unread-count 500 notice-board-service)","high","","CRM-events-team","2025-05-13 16:56:11","","true","1","45","3600","3555","0"
"75496","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-18 18:50:38","","true","1","19","3302","3283","0"
"74519","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-12 21:30:04","","true","1","22","3003","2981","0"
"74632","Base Incident","[FIRING:1] [prod][notice-board][bff]: noticeBoardDS Failure CRM (GetNoticesDS notice-board-service 500)","high","","CRM-events-team","2025-05-13 14:18:04","","true","1","198","2402","2204","0"
"75595","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-19 11:07:05","","true","1","17","2101","2083","0"
"74491","Base Incident","[FIRING:1] [prod][notification] Resource notification.v1.notification.createnotification errors/sec has breached threshold CRM ","high","","CRM-events-team","2025-05-12 20:03:10","","true","1","38","2101","2063","0"
"74773","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-14 11:09:24","","true","1","22","1801","1779","0"
"74984","Base Incident","[FIRING:1] [sales-orchestrator offline] Salesforce api failure percentage breached threshold CRM (sales-orchestrator)","high","","CRM-events-team","2025-05-15 14:02:46","","true","1","80","1501","1421","0"
"75713","Base Incident","[FIRING:1] [sales-orchestrator] order confirmed failure breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-19 23:10:05","","true","1","235","1202","967","0"
"74786","Base Incident","[FIRING:1] [sales-orchestrator] Salesforce api failure percentage breached threshold CRM (high sales-orchestrator)","high","","CRM-events-team","2025-05-14 12:12:07","","true","1","20","1202","1182","0"
